Currently Insured,Number of Vehicles,Number of Drivers,Marital Status,bid,rank,click,policies_sold
Y,2,2,S,10,5,0.030647188,0
unknown,3,2,M,10,2,0.291645,0
N,1,2,M,10,3,0.15018103,0
N,3,2,S,10,5,0.025609225,0
N,1,1,S,10,5,0.028757602,0
Y,3,1,S,10,5,0.028925478,0
N,2,2,S,10,4,0.063803345,0
N,3,2,M,10,3,0.13559538,0
unknown,1,1,M,10,1,0.53121483,1
Y,3,2,S,10,3,0.15094766,1
N,2,2,M,10,5,0.027139097,0
unknown,2,2,M,10,1,0.51635164,0
Y,2,1,S,10,4,0.07170147,0
N,3,2,M,10,5,0.025609225,0
N,1,1,M,10,3,0.15018103,0
unknown,1,1,M,10,1,0.53121483,0
N,2,1,M,10,4,0.063803345,0
Y,3,1,S,10,5,0.028925478,0
N,3,1,S,10,5,0.025609225,1
unknown,1,2,S,10,1,0.53121483,0
unknown,1,2,M,10,1,0.53121483,1
unknown,3,1,S,10,2,0.291645,0
N,3,2,M,10,4,0.06033495,0
Y,2,1,M,10,5,0.030647188,0
unknown,2,1,S,10,2,0.30410707,0
unknown,1,1,S,10,2,0.31686336,0
unknown,2,1,M,10,3,0.15173438,0
N,1,2,S,10,3,0.15018103,0
N,1,2,M,10,4,0.06745675,1
Y,2,2,S,10,5,0.030647188,0
unknown,1,1,S,10,1,0.53121483,0
N,3,2,S,10,5,0.025609225,0
Y,1,1,S,10,4,0.07577056,0
Y,1,1,S,10,2,0.32854843,0
unknown,1,2,S,10,1,0.53121483,0
Y,3,1,M,10,5,0.028925478,0
Y,3,1,M,10,5,0.028925478,0
Y,2,2,S,10,3,0.15874499,0
N,1,1,M,10,5,0.028757602,0
unknown,3,2,M,10,1,0.50145954,0
N,1,2,S,10,2,0.30154836,0
unknown,3,1,M,10,2,0.291645,0
unknown,1,2,M,10,1,0.53121483,0
unknown,1,2,S,10,1,0.53121483,0
N,1,2,M,10,2,0.30154836,0
Y,2,2,M,10,4,0.07170147,0
N,2,2,S,10,5,0.027139097,0
Y,1,2,M,10,4,0.07577056,0
Y,3,1,M,10,4,0.067834795,0
N,3,1,M,10,5,0.025609225,0
Y,1,2,M,10,3,0.16686594,0
Y,2,1,M,10,5,0.030647188,0
unknown,1,2,M,10,3,0.15956467,0
unknown,2,1,M,10,2,0.30410707,0
unknown,3,2,M,10,1,0.50145954,1
Y,2,2,S,10,5,0.030647188,0
N,2,1,S,10,5,0.027139097,0
N,2,1,M,10,5,0.027139097,0
N,1,1,S,10,4,0.06745675,0
Y,1,1,M,10,3,0.16686594,0
N,2,2,S,10,5,0.027139097,0
N,1,2,S,10,4,0.06745675,0
Y,3,1,S,10,5,0.028925478,0
Y,2,2,S,10,5,0.030647188,0
N,3,1,M,10,4,0.06033495,0
unknown,3,2,M,10,4,0.06453103,0
unknown,1,1,S,10,1,0.53121483,0
unknown,2,1,S,10,2,0.30410707,0
Y,3,2,M,10,4,0.067834795,0
N,3,1,M,10,5,0.025609225,0
Y,1,2,S,10,2,0.32854843,0
Y,1,1,M,10,3,0.16686594,0
Y,1,2,S,10,3,0.16686594,0
Y,2,2,M,10,5,0.030647188,0
Y,3,2,M,10,4,0.067834795,0
Y,3,2,M,10,5,0.028925478,0
unknown,3,1,S,10,2,0.291645,0
Y,2,1,M,10,5,0.030647188,0
unknown,1,2,S,10,2,0.31686333,0
Y,3,1,M,10,4,0.067834795,0
unknown,2,1,S,10,2,0.30410707,0
Y,2,1,S,10,4,0.07170147,0
N,2,1,S,10,4,0.063803345,0
Y,3,1,M,10,3,0.15094766,0
Y,3,1,S,10,5,0.028925478,0
Y,2,1,S,10,5,0.030647188,0
Y,1,2,S,10,4,0.07577056,0
Y,2,1,M,10,5,0.030647188,0
N,2,2,S,10,2,0.28914762,0
Y,2,2,M,10,5,0.030647188,0
unknown,3,1,S,10,1,0.50145954,1
unknown,1,2,M,10,3,0.15956467,0
Y,1,2,M,10,3,0.16686594,0
unknown,2,1,M,10,3,0.15173435,0
N,2,1,M,10,5,0.027139097,0
unknown,3,1,M,10,2,0.291645,0
N,2,1,S,10,5,0.027139097,0
N,2,1,S,10,3,0.14273295,0
N,1,1,M,10,4,0.06745675,0
unknown,3,2,M,10,3,0.14422235,0
Y,2,2,M,10,3,0.15874499,0
unknown,2,1,S,10,2,0.30410707,0
unknown,1,2,S,10,3,0.15956467,1
unknown,3,1,M,10,2,0.291645,0
unknown,2,1,M,10,2,0.30410707,0
unknown,2,2,M,10,2,0.30410707,0
N,1,1,S,10,3,0.15018103,0
Y,1,2,S,10,2,0.32854843,0
Y,2,2,M,10,4,0.07170147,0
N,2,2,M,10,3,0.14273295,0
unknown,3,2,M,10,2,0.291645,0
unknown,2,1,M,10,3,0.15173435,0
unknown,2,2,S,10,1,0.51635164,0
Y,1,2,M,10,4,0.07577056,0
unknown,3,2,M,10,3,0.14422235,0
N,3,1,S,10,5,0.025609225,0
unknown,3,1,M,10,4,0.06453103,0
N,3,1,S,10,3,0.13559538,0
N,1,1,S,10,5,0.028757602,0
Y,2,1,S,10,5,0.030647188,0
N,1,1,S,10,5,0.028757602,0
unknown,2,2,M,10,1,0.5163516,0
Y,2,2,M,10,3,0.15874499,0
Y,3,1,S,10,4,0.067834795,0
unknown,2,2,S,10,2,0.30410707,0
unknown,1,1,S,10,2,0.31686333,1
Y,2,1,M,10,4,0.07170147,0
Y,2,1,M,10,4,0.07170147,0
unknown,2,1,S,10,1,0.51635164,0
Y,1,1,S,10,2,0.32854843,0
Y,2,2,M,10,3,0.15874499,0
unknown,2,2,M,10,2,0.30410707,0
unknown,2,2,S,10,1,0.51635164,0
N,2,2,M,10,3,0.14273295,0
unknown,3,1,S,10,4,0.06453103,0
unknown,1,1,M,10,1,0.53121483,1
N,1,1,M,10,5,0.028757602,0
unknown,2,1,S,10,1,0.51635164,1
Y,3,2,S,10,3,0.15094766,0
unknown,1,1,M,10,1,0.53121483,1
Y,2,2,M,10,4,0.07170147,0
unknown,1,2,M,10,1,0.53121483,0
Y,2,2,S,10,4,0.07170147,0
Y,2,2,S,10,5,0.030647188,0
Y,1,2,S,10,3,0.16686594,0
N,1,2,S,10,3,0.15018103,0
N,2,1,S,10,3,0.14273295,0
N,2,1,M,10,3,0.14273295,0
unknown,3,1,S,10,4,0.06453103,1
Y,3,2,S,10,4,0.067834795,0
Y,2,2,M,10,3,0.15874499,0
N,1,1,S,10,4,0.06745675,0
N,3,2,S,10,4,0.06033495,0
Y,3,1,M,10,4,0.067834795,0
N,3,1,M,10,4,0.06033492,0
N,3,1,M,10,3,0.13559538,0
unknown,1,2,M,10,2,0.31686333,1
unknown,1,1,M,10,1,0.53121483,0
Y,1,1,M,10,2,0.32854843,0
unknown,3,2,M,10,3,0.14422235,0
Y,3,2,S,10,5,0.028925478,0
unknown,1,1,M,10,2,0.31686333,0
Y,2,2,S,10,5,0.030647188,0
Y,2,2,S,10,5,0.030647188,0
Y,3,2,S,10,5,0.028925478,0
Y,2,1,M,10,5,0.030647188,0
unknown,2,2,S,10,3,0.15173435,0
Y,2,1,M,10,4,0.07170147,0
Y,1,2,S,10,3,0.16686594,0
Y,3,1,S,10,4,0.067834795,0
Y,2,2,M,10,5,0.030647188,0
unknown,3,1,S,10,3,0.14422235,0
Y,2,1,M,10,5,0.030647188,0
N,1,2,M,10,2,0.30154836,1
unknown,2,1,S,10,2,0.30410707,0
Y,3,2,S,10,4,0.067834795,0
unknown,1,1,S,10,1,0.53121483,0
Y,3,1,S,10,4,0.067834795,0
N,2,2,M,10,4,0.063803345,0
N,2,1,S,10,5,0.027139097,0
N,2,2,S,10,3,0.14273295,0
Y,2,1,S,10,5,0.030647188,0
N,3,2,M,10,5,0.025609225,0
Y,1,1,M,10,2,0.32854843,0
Y,2,2,S,10,5,0.030647188,0
unknown,3,1,M,10,3,0.14422235,0
Y,1,1,S,10,3,0.16686594,0
Y,1,1,S,10,3,0.16686594,0
N,1,1,M,10,5,0.028757602,1
N,1,2,M,10,1,0.51332456,0
Y,2,2,M,10,5,0.030647188,0
unknown,2,2,M,10,1,0.51635164,0
N,3,2,M,10,5,0.025609225,0
unknown,3,1,S,10,3,0.14422235,0
unknown,3,1,M,10,3,0.14422235,0
Y,2,1,S,10,5,0.030647188,0
unknown,2,1,S,10,1,0.51635164,0
Y,2,2,S,10,5,0.030647188,0
unknown,3,1,M,10,3,0.14422235,0
Y,1,2,S,10,4,0.07577056,0
Y,3,1,M,10,5,0.028925478,0
unknown,3,2,M,10,3,0.14422235,0
N,2,1,S,10,5,0.027139097,0
Y,2,1,S,10,3,0.15874499,0
N,1,1,S,10,4,0.06745675,0
N,1,1,M,10,4,0.06745675,0
Y,1,1,M,10,3,0.16686594,0
unknown,2,2,S,10,1,0.51635164,0
N,2,2,S,10,4,0.063803345,0
Y,1,1,S,10,4,0.07577056,0
Y,1,2,M,10,3,0.16686594,0
unknown,3,1,M,10,4,0.06453103,0
Y,2,2,M,10,4,0.07170147,0
unknown,3,1,M,10,3,0.14422235,0
unknown,2,1,M,10,3,0.15173435,0
N,1,2,S,10,2,0.30154836,1
Y,3,1,M,10,4,0.067834795,0
N,3,2,S,10,4,0.06033492,0
unknown,2,2,S,10,2,0.30410707,1
Y,3,2,M,10,5,0.028925478,0
unknown,1,1,M,10,2,0.31686333,1
unknown,1,2,S,10,1,0.53121483,1
Y,2,2,M,10,5,0.030647188,0
unknown,2,1,S,10,3,0.15173435,0
N,3,1,S,10,3,0.13559538,0
unknown,3,1,M,10,1,0.50145954,0
Y,1,1,S,10,4,0.07577056,0
unknown,2,1,M,10,3,0.15173435,0
Y,3,2,S,10,5,0.028925478,0
N,2,1,M,10,3,0.14273295,0
Y,1,2,M,10,2,0.32854843,0
unknown,1,2,M,10,3,0.15956467,0
N,2,1,M,10,3,0.14273295,0
Y,3,1,M,10,3,0.15094766,0
N,2,2,S,10,2,0.28914762,0
N,2,1,M,10,5,0.027139097,0
unknown,2,2,M,10,2,0.30410707,0
unknown,2,1,M,10,2,0.30410707,0
unknown,3,1,M,10,1,0.50145954,1
Y,1,2,S,10,2,0.32854843,0
unknown,2,1,M,10,1,0.51635164,0
N,1,2,S,10,2,0.30154836,0
unknown,1,1,M,10,2,0.31686333,0
N,2,2,S,10,3,0.14273295,0
N,3,2,M,10,3,0.13559538,0
unknown,1,1,S,10,2,0.31686333,0
N,2,2,M,10,5,0.027139097,0
unknown,1,2,S,10,1,0.53121483,0
N,2,2,M,10,5,0.027139097,0
N,2,2,S,10,4,0.063803345,0
Y,2,1,S,10,3,0.15874499,0
Y,2,1,M,10,5,0.030647188,0
N,1,2,S,10,2,0.30154836,0
N,1,2,M,10,3,0.15018103,1
unknown,2,1,S,10,3,0.15173435,0
N,1,2,S,10,3,0.15018103,0
Y,3,2,M,10,5,0.028925478,0
unknown,1,2,S,10,2,0.31686333,0
unknown,1,2,M,10,2,0.31686333,0
Y,2,1,M,10,3,0.15874499,0
Y,2,2,S,10,4,0.07170147,0
unknown,1,2,S,10,1,0.53121483,0
N,3,2,S,10,4,0.06033495,0
N,1,2,M,10,3,0.15018103,0
N,2,1,M,10,3,0.14273295,0
N,2,1,M,10,5,0.027139097,0
Y,2,1,M,10,5,0.030647188,0
N,3,2,M,10,4,0.06033495,0
Y,1,2,M,10,1,0.5445041,0
N,3,2,S,10,4,0.06033495,0
Y,1,2,S,10,2,0.32854843,0
unknown,2,1,M,10,1,0.51635164,0
N,1,2,M,10,3,0.15018103,0
unknown,2,1,S,10,2,0.30410707,0
unknown,2,1,M,10,1,0.51635164,0
Y,3,1,M,10,3,0.15094766,0
unknown,2,1,M,10,1,0.51635164,0
N,1,1,M,10,5,0.028757602,0
Y,1,1,M,10,4,0.07577056,0
unknown,1,2,M,10,1,0.53121483,0
Y,3,1,S,10,5,0.028925478,0
unknown,1,1,M,10,3,0.15956473,0
N,1,2,S,10,1,0.51332456,0
N,3,2,M,10,4,0.06033495,0
N,2,2,S,10,3,0.14273295,0
unknown,2,1,S,10,2,0.30410707,0
N,1,2,S,10,4,0.06745675,0
Y,1,2,S,10,1,0.5445041,1
unknown,3,2,M,10,3,0.14422235,0
unknown,1,2,S,10,1,0.53121483,0
unknown,1,1,M,10,1,0.53121483,0
Y,3,1,M,10,5,0.028925478,0
Y,2,1,S,10,5,0.030647188,0
Y,2,2,S,10,5,0.030647188,0
N,2,1,M,10,4,0.063803345,0
N,3,1,M,10,5,0.025609225,1
unknown,1,1,S,10,2,0.31686333,1
Y,3,1,S,10,4,0.067834795,0
unknown,1,2,M,10,1,0.53121483,1
Y,2,1,S,10,5,0.030647188,0
unknown,1,2,M,10,3,0.15956467,1
N,1,1,S,10,4,0.06745675,0
Y,1,1,S,10,3,0.16686594,0
N,3,1,S,10,4,0.06033495,0
N,2,1,S,10,5,0.027139097,0
Y,3,2,S,10,3,0.15094766,0
N,3,2,M,10,4,0.06033495,0
Y,2,1,S,10,5,0.030647188,0
Y,1,1,M,10,4,0.07577056,0
N,2,1,S,10,3,0.14273295,0
Y,3,1,M,10,4,0.067834795,0
N,3,1,M,10,4,0.06033495,0
unknown,3,2,M,10,1,0.50145954,0
unknown,1,2,M,10,2,0.31686336,0
unknown,3,2,M,10,4,0.06453103,0
N,2,2,M,10,5,0.027139097,0
unknown,2,1,M,10,1,0.51635164,0
N,3,1,M,10,5,0.025609225,0
N,2,2,M,10,3,0.14273295,0
unknown,3,1,M,10,3,0.14422235,0
Y,1,2,S,10,2,0.32854843,0
Y,2,1,S,10,3,0.15874499,0
Y,1,2,S,10,2,0.32854843,0
Y,3,1,M,10,4,0.067834795,0
unknown,3,1,M,10,1,0.50145954,0
Y,3,2,M,10,5,0.028925478,0
N,2,1,S,10,4,0.063803345,0
unknown,1,2,S,10,1,0.53121483,0
Y,3,2,M,10,5,0.028925478,0
N,2,2,S,10,5,0.027139097,0
Y,3,2,S,10,5,0.028925478,0
unknown,1,2,S,10,3,0.15956467,0
Y,1,2,M,10,1,0.5445041,0
Y,1,1,M,10,4,0.07577056,0
unknown,1,1,S,10,2,0.31686333,0
Y,1,1,M,10,5,0.0324679,0
unknown,2,2,M,10,1,0.51635164,0
unknown,2,2,M,10,1,0.51635164,0
N,2,1,M,10,5,0.027139097,0
N,3,1,M,10,5,0.025609225,0
unknown,1,1,S,10,3,0.15956467,1
N,1,1,M,10,4,0.06745675,0
N,3,1,S,10,3,0.13559538,0
N,2,1,S,10,3,0.14273295,0
Y,1,1,M,10,5,0.0324679,0
unknown,1,1,M,10,2,0.31686336,0
N,2,1,S,10,4,0.063803345,0
unknown,1,2,M,10,3,0.15956467,0
N,1,1,S,10,4,0.06745675,0
N,1,2,M,10,1,0.51332456,1
N,2,1,M,10,4,0.063803345,0
Y,2,2,M,10,5,0.030647188,0
Y,2,1,M,10,3,0.15874499,0
Y,3,2,S,10,4,0.067834795,0
unknown,1,2,M,10,2,0.31686333,0
unknown,3,1,M,10,1,0.50145954,0
Y,2,1,M,10,3,0.15874499,0
N,1,1,M,10,5,0.028757602,0
Y,2,2,M,10,3,0.15874499,0
N,3,2,S,10,3,0.13559538,0
Y,3,2,S,10,4,0.067834795,0
N,3,2,S,10,5,0.025609225,0
N,1,1,M,10,4,0.06745675,0
N,3,2,M,10,5,0.025609225,0
N,1,1,S,10,4,0.06745675,1
Y,1,2,S,10,3,0.16686594,0
unknown,3,2,M,10,4,0.06453103,0
unknown,1,2,S,10,3,0.15956467,0
N,3,2,M,10,5,0.025609225,0
Y,2,2,S,10,5,0.030647188,0
Y,2,1,M,10,3,0.15874499,0
N,3,2,S,10,3,0.13559538,0
N,2,1,M,10,5,0.027139097,0
Y,2,1,S,10,5,0.030647188,0
Y,3,1,M,10,3,0.15094766,0
N,1,2,M,10,1,0.51332456,0
N,2,1,M,10,4,0.063803345,0
N,1,2,M,10,1,0.51332456,0
N,1,2,M,10,2,0.30154833,1
Y,2,2,M,10,4,0.07170147,0
unknown,2,1,M,10,3,0.15173435,0
N,2,2,S,10,3,0.14273295,0
Y,1,2,M,10,3,0.16686594,0
Y,3,1,M,10,4,0.067834795,0
N,2,1,S,10,3,0.14273295,0
unknown,1,2,S,10,1,0.53121483,0
Y,3,2,S,10,3,0.15094766,0
N,3,1,S,10,4,0.06033495,0
unknown,2,2,M,10,1,0.51635164,1
N,2,1,M,10,5,0.027139097,0
Y,3,1,M,10,5,0.028925478,0
Y,3,2,M,10,3,0.15094766,0
unknown,1,2,M,10,1,0.53121483,1
N,3,2,M,10,5,0.025609225,0
Y,3,2,S,10,5,0.028925478,0
N,3,2,S,10,4,0.06033495,0
Y,2,1,S,10,5,0.030647188,0
unknown,1,2,S,10,1,0.53121483,1
N,3,2,M,10,3,0.13559538,0
unknown,1,1,M,10,1,0.53121483,0
Y,3,2,M,10,4,0.067834795,0
Y,3,1,S,10,4,0.067834795,0
N,1,1,S,10,3,0.15018103,0
Y,1,2,M,10,2,0.32854843,0
N,2,1,S,10,5,0.027139097,0
unknown,3,1,M,10,2,0.291645,1
N,2,1,M,10,5,0.027139097,0
unknown,1,1,S,10,2,0.31686333,0
Y,2,1,M,10,5,0.030647188,0
unknown,1,2,S,10,1,0.53121483,0
Y,3,1,S,10,3,0.15094766,0
Y,2,1,S,10,5,0.030647188,0
N,3,2,M,10,5,0.025609225,0
unknown,2,1,S,10,2,0.30410707,1
N,2,1,S,10,3,0.14273295,0
unknown,1,2,S,10,1,0.53121483,0
unknown,3,2,M,10,4,0.06453103,0
unknown,2,2,M,10,1,0.51635164,0
unknown,3,1,M,10,2,0.291645,0
unknown,1,2,M,10,1,0.53121483,1
N,2,2,S,10,2,0.28914762,0
N,2,2,M,10,3,0.14273295,0
N,2,2,S,10,4,0.063803345,0
N,2,2,S,10,3,0.14273295,0
unknown,2,2,S,10,1,0.51635164,0
unknown,1,2,S,10,1,0.53121483,0
N,3,2,S,10,5,0.025609225,0
Y,2,2,M,10,5,0.030647188,1
Y,3,2,S,10,4,0.067834795,0
N,2,1,S,10,5,0.027139097,0
N,1,2,M,10,1,0.51332456,1
unknown,1,2,M,10,1,0.53121483,0
N,1,1,S,10,4,0.06745675,0
unknown,1,1,S,10,1,0.53121483,1
N,3,2,S,10,5,0.025609225,0
N,1,1,S,10,4,0.06745675,0
unknown,3,2,M,10,2,0.291645,0
unknown,1,2,M,10,2,0.31686333,0
unknown,3,1,M,10,2,0.291645,0
N,3,2,M,10,4,0.06033495,0
Y,1,2,S,10,3,0.16686594,0
N,2,1,S,10,3,0.14273295,0
N,1,2,S,10,3,0.15018103,1
N,3,1,M,10,5,0.025609225,0
Y,1,2,S,10,4,0.07577056,0
N,1,2,M,10,1,0.51332456,0
Y,2,1,S,10,5,0.030647188,0
N,1,2,S,10,2,0.30154836,0
Y,2,1,S,10,4,0.07170147,0
unknown,2,2,M,10,2,0.30410707,0
N,3,1,S,10,3,0.13559538,0
N,3,2,M,10,4,0.06033495,0
Y,2,1,M,10,3,0.15874499,0
unknown,2,1,M,10,2,0.30410707,0
Y,2,2,M,10,5,0.030647188,0
Y,3,2,S,10,4,0.067834795,0
N,2,2,S,10,3,0.14273295,0
unknown,2,2,S,10,1,0.51635164,0
N,3,2,S,10,3,0.13559538,0
Y,2,2,M,10,4,0.07170147,0
unknown,2,1,S,10,2,0.30410707,0
N,3,2,M,10,4,0.06033495,0
Y,1,2,S,10,4,0.07577056,0
Y,1,1,M,10,4,0.07577056,0
unknown,1,2,S,10,1,0.53121483,1
N,3,2,M,10,5,0.025609225,0
N,1,1,S,10,3,0.15018103,0
Y,2,1,S,10,4,0.07170147,0
unknown,1,2,M,10,1,0.53121483,0
Y,1,2,S,10,4,0.07577056,0
N,2,1,M,10,5,0.027139097,0
N,1,2,S,10,2,0.30154836,0
Y,3,2,M,10,5,0.028925478,0
N,3,2,S,10,5,0.025609255,0
N,2,2,S,10,3,0.14273295,0
N,1,1,M,10,3,0.15018103,0
Y,2,1,M,10,3,0.15874499,0
N,3,1,S,10,4,0.06033495,0
unknown,1,2,M,10,2,0.31686333,0
N,2,1,S,10,3,0.14273295,0
N,3,1,M,10,5,0.025609225,0
unknown,2,2,M,10,1,0.51635164,0
Y,2,1,S,10,4,0.07170147,0
Y,2,2,M,10,3,0.15874499,0
Y,3,2,M,10,5,0.028925478,0
N,3,2,M,10,5,0.025609225,0
Y,3,1,S,10,5,0.028925478,0
N,2,1,M,10,3,0.14273295,0
unknown,3,2,M,10,3,0.14422235,0
N,2,1,M,10,5,0.027139097,0
unknown,3,2,M,10,3,0.14422235,0
Y,2,1,M,10,5,0.030647188,0
unknown,3,2,M,10,2,0.291645,0
N,1,2,M,10,2,0.30154836,0
unknown,2,2,M,10,1,0.51635164,0
N,2,1,S,10,4,0.063803345,0
Y,1,2,M,10,4,0.07577056,0
N,3,1,M,10,5,0.025609225,0
unknown,1,2,S,10,2,0.31686333,0
unknown,1,1,M,10,2,0.31686333,0
Y,3,1,M,10,5,0.028925478,0
Y,1,2,M,10,3,0.16686594,0
unknown,1,2,S,10,1,0.53121483,0
Y,2,2,M,10,5,0.030647188,0
unknown,1,2,S,10,2,0.31686333,0
unknown,1,2,S,10,2,0.31686336,0
unknown,2,1,M,10,2,0.30410707,0
unknown,2,2,S,10,2,0.30410707,0
unknown,3,1,S,10,3,0.14422235,0
Y,1,1,M,10,3,0.16686594,0
unknown,3,1,S,10,1,0.50145954,0
unknown,1,1,S,10,1,0.53121483,0
Y,2,2,M,10,4,0.07170147,0
Y,2,2,M,10,5,0.030647188,0
unknown,3,2,M,10,3,0.14422235,0
N,2,2,S,10,4,0.063803345,0
Y,3,1,S,10,5,0.028925478,0
Y,3,2,M,10,5,0.028925478,0
Y,1,1,M,10,4,0.07577056,0
unknown,3,1,S,10,4,0.06453103,0
Y,1,2,S,10,2,0.32854843,0
Y,3,2,M,10,4,0.067834795,0
N,2,1,M,10,5,0.027139097,0
N,1,2,S,10,4,0.06745675,0
N,2,1,S,10,4,0.063803345,0
unknown,2,2,S,10,2,0.30410707,1
unknown,2,1,M,10,3,0.15173435,0
N,1,1,M,10,3,0.15018103,0
N,1,1,M,10,4,0.06745675,0
N,3,2,M,10,5,0.025609225,0
unknown,1,2,S,10,1,0.53121483,1
Y,1,2,S,10,4,0.07577056,0
Y,3,1,M,10,4,0.067834795,0
N,2,1,M,10,3,0.14273295,0
unknown,2,2,M,10,2,0.30410707,0
N,1,2,M,10,3,0.15018103,0
N,1,1,M,10,4,0.06745675,0
unknown,2,1,M,10,3,0.15173438,0
N,1,2,S,10,1,0.51332456,0
Y,3,1,S,10,5,0.028925478,0
Y,2,2,M,10,5,0.030647188,0
N,2,2,M,10,2,0.28914762,0
Y,3,2,S,10,3,0.15094766,0
unknown,2,1,S,10,1,0.51635164,0
Y,3,1,M,10,3,0.15094766,0
N,3,2,S,10,5,0.025609225,0
unknown,3,1,M,10,4,0.06453103,0
Y,3,1,M,10,5,0.028925478,0
Y,3,2,S,10,4,0.067834795,0
Y,2,1,S,10,5,0.030647188,0
unknown,2,1,S,10,1,0.51635164,0
Y,3,1,S,10,5,0.028925478,0
Y,2,2,M,10,5,0.030647188,0
unknown,3,1,M,10,4,0.06453103,0
N,3,2,S,10,3,0.13559538,0
Y,1,1,S,10,2,0.32854843,0
Y,1,1,S,10,4,0.07577056,0
unknown,1,2,S,10,2,0.31686333,1
unknown,3,2,M,10,3,0.14422235,0
N,3,2,M,10,5,0.025609225,0
unknown,3,1,S,10,1,0.50145954,0
N,2,2,M,10,5,0.027139097,0
unknown,1,2,S,10,3,0.15956467,0
N,3,2,S,10,5,0.025609225,0
N,1,1,S,10,5,0.028757602,0
Y,1,2,S,10,4,0.07577056,0
N,2,2,S,10,2,0.28914762,0
unknown,1,2,S,10,1,0.53121483,0
Y,3,2,M,10,4,0.067834795,0
N,1,2,M,10,4,0.06745675,0
N,3,1,S,10,5,0.025609255,0
N,3,2,S,10,5,0.025609225,0
unknown,2,1,S,10,3,0.15173435,0
Y,1,1,S,10,1,0.5445041,0
Y,3,2,S,10,5,0.028925478,0
N,2,2,S,10,4,0.063803345,0
unknown,2,2,M,10,2,0.30410707,0
N,1,1,S,10,5,0.028757602,0
Y,1,2,M,10,4,0.07577056,0
unknown,2,1,S,10,2,0.30410707,0
N,1,2,S,10,4,0.06745675,0
Y,2,2,S,10,5,0.030647188,0
unknown,2,2,S,10,3,0.15173435,0
unknown,3,1,M,10,4,0.06453103,0
N,1,1,S,10,2,0.30154836,0
N,1,1,M,10,3,0.15018103,0
N,3,2,S,10,3,0.13559538,0
unknown,1,2,S,10,2,0.31686333,0
Y,3,1,M,10,5,0.028925478,0
Y,2,2,M,10,3,0.15874499,0
Y,2,2,S,10,5,0.030647188,0
N,3,2,S,10,4,0.06033495,0
Y,2,2,S,10,5,0.030647188,0
N,2,1,S,10,4,0.063803345,0
unknown,1,2,S,10,1,0.53121483,1
Y,2,2,S,10,4,0.07170147,0
Y,1,1,S,10,3,0.16686594,0
Y,3,1,M,10,5,0.028925478,0
Y,3,2,M,10,5,0.028925478,0
Y,2,2,M,10,5,0.030647188,0
Y,3,1,S,10,5,0.028925478,0
N,3,2,M,10,5,0.025609255,0
unknown,2,1,M,10,1,0.5163516,1
Y,3,2,M,10,3,0.15094766,0
unknown,1,2,M,10,1,0.53121483,0
Y,2,2,S,10,4,0.07170147,0
Y,2,2,S,10,5,0.030647188,0
Y,3,1,S,10,5,0.028925478,0
N,2,2,S,10,5,0.027139097,0
N,1,1,S,10,2,0.30154836,1
N,2,2,S,10,3,0.14273295,0
Y,1,2,S,10,2,0.32854843,0
Y,3,1,S,10,5,0.028925478,0
Y,2,1,M,10,5,0.030647188,0
Y,3,1,S,10,5,0.028925478,0
Y,2,2,M,10,5,0.030647188,0
N,2,1,M,10,3,0.14273295,1
Y,1,1,S,10,3,0.16686594,0
unknown,2,2,M,10,1,0.51635164,1
unknown,2,2,M,10,1,0.51635164,0
unknown,1,1,M,10,3,0.15956467,1
Y,2,1,M,10,3,0.15874499,0
N,2,2,S,10,5,0.027139097,0
Y,1,1,M,10,5,0.0324679,0
N,3,2,S,10,5,0.025609225,0
Y,2,1,S,10,4,0.07170147,0
N,2,1,M,10,5,0.027139097,0
Y,2,1,M,10,5,0.030647188,0
unknown,1,1,S,10,2,0.31686333,0
Y,3,2,S,10,5,0.028925478,0
N,3,1,M,10,5,0.025609225,0
Y,1,1,M,10,2,0.32854843,0
unknown,1,1,M,10,3,0.15956467,0
N,2,2,M,10,4,0.063803345,0
N,2,1,M,10,5,0.027139097,0
Y,3,2,S,10,5,0.028925478,0
unknown,3,1,S,10,1,0.50145954,0
N,2,2,M,10,3,0.14273295,1
N,1,2,M,10,3,0.15018103,0
Y,3,1,S,10,5,0.028925478,0
N,3,2,S,10,5,0.025609225,0
Y,2,1,S,10,5,0.030647188,0
N,3,1,M,10,3,0.13559538,0
N,2,1,S,10,5,0.027139097,0
Y,3,1,S,10,4,0.067834795,0
unknown,2,2,S,10,3,0.15173435,0
Y,2,2,M,10,3,0.15874499,0
Y,1,2,M,10,2,0.32854843,0
Y,1,2,S,10,1,0.5445041,0
Y,3,2,S,10,3,0.15094766,0
N,3,1,M,10,5,0.025609225,0
unknown,2,2,M,10,3,0.15173435,0
N,3,1,S,10,4,0.06033495,0
N,3,2,M,10,3,0.13559538,0
unknown,1,1,S,10,3,0.15956467,0
unknown,3,1,S,10,2,0.291645,0
N,1,2,M,10,3,0.15018103,0
unknown,3,1,M,10,3,0.14422235,0
unknown,3,2,M,10,3,0.14422235,0
Y,3,2,M,10,5,0.028925478,0
unknown,3,2,M,10,1,0.50145954,0
unknown,3,1,S,10,3,0.14422235,0
N,3,2,S,10,5,0.025609225,0
N,2,1,S,10,5,0.027139097,0
Y,1,2,S,10,2,0.32854843,0
N,2,2,S,10,5,0.027139097,0
